Movie,Rating,Genre,Original Language,Director,Producer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Production Co,Sound Mix,Aspect Ratio,Writer,View the collection
blues_brothers_2000, PG-13 (Some Language|Exotic Dancing)," Comedy, Musical", English, John Landis," Dan Aykroyd, Leslie Belzberg, John Landis"," Feb 6, 1998  Wide"," Feb 12, 2014", $14.0M, 2h 3m, Universal Pictures," Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital", Flat (1.85:1),,
soul_2020, PG (Some Language|Thematic Elements)," Animation, Adventure, Kids And Family, Comedy", English, Pete Docter, Dana Leigh Murray,," Dec 25, 2020",, 1h 40m," Pixar Animation Studios, Walt Disney Pictures"," Dolby Atmos, Dolby Digital, DTS", Scope (2.35:1)," Pete Docter, Mike Jones, Kemp Powers", Pixar
the_dark_knight, PG-13 (Some Menace|Intense Sequences of Violence)," Fantasy, Adventure, Action", English, Christopher Nolan," Emma Thomas, Charles Roven, Christopher Nolan"," Jul 18, 2008  Wide"," Jun 14, 2010", $2.0M, 2h 32m, Syncopy," DTS, Dolby Digital, SDDS", Scope (2.35:1)," Jonathan Nolan, Christopher Nolan", Batman
